[logging start 2012-04-16 01:34:33,475]
2012-04-16 01:34:38,713 [14] DEBUG (HttpDaemon) HttpMethod GET
2012-04-16 01:34:38,713 [14] DEBUG (HttpDaemon) /index.html
2012-04-16 01:34:41,514 [14] DEBUG (HttpDaemon) HttpMethod GET
2012-04-16 01:34:41,514 [14] DEBUG (HttpDaemon) /index.html
2012-04-16 01:34:48,181 [14] DEBUG (HttpDaemon) HttpMethod GET
2012-04-16 01:34:48,181 [14] DEBUG (HttpDaemon) /index.html
2012-04-16 01:34:49,540 [14] DEBUG (HttpDaemon) HttpMethod GET
2012-04-16 01:34:49,541 [14] DEBUG (HttpDaemon) /favicon.ico
2012-04-16 01:35:04,678 [14] DEBUG (HttpDaemon) HttpMethod GET
2012-04-16 01:35:04,678 [14] DEBUG (HttpDaemon) /index.html
2012-04-16 01:35:12,879 [14] DEBUG (HttpDaemon) HttpMethod GET
2012-04-16 01:35:12,879 [14] DEBUG (HttpDaemon) /index.html
2012-04-16 01:35:14,954 [14] DEBUG (HttpDaemon) HttpMethod GET
2012-04-16 01:35:14,955 [14] DEBUG (HttpDaemon) /favicon.ico
2012-04-16 01:35:14,958 [14] DEBUG (HttpDaemon) HttpMethod GET
2012-04-16 01:35:14,959 [14] DEBUG (HttpDaemon) /favicon.ico
2012-04-16 01:35:42,568 [14] DEBUG (HttpDaemon) HttpMethod GET
2012-04-16 01:35:42,568 [14] DEBUG (HttpDaemon) /index.html
2012-04-16 01:35:42,831 [14] DEBUG (HttpDaemon) HttpMethod GET
2012-04-16 01:35:42,831 [14] DEBUG (HttpDaemon) /favicon.ico
2012-04-16 01:36:02,595 [14] DEBUG (HttpDaemon) HttpMethod GET
2012-04-16 01:36:02,596 [14] DEBUG (HttpDaemon) /index.html
2012-04-16 01:36:02,729 [14] DEBUG (HttpDaemon) HttpMethod GET
2012-04-16 01:36:02,729 [14] DEBUG (HttpDaemon) /favicon.ico
2012-04-16 01:36:37,341 [14] DEBUG (HttpDaemon) HttpMethod GET
2012-04-16 01:36:37,341 [14] DEBUG (HttpDaemon) /index.html
2012-04-16 01:36:37,489 [14] DEBUG (HttpDaemon) HttpMethod GET
2012-04-16 01:36:37,489 [14] DEBUG (HttpDaemon) /favicon.ico
2012-04-16 01:36:38,412 [14] DEBUG (HttpDaemon) HttpMethod GET
2012-04-16 01:36:38,412 [14] DEBUG (HttpDaemon) /index.html
2012-04-16 01:36:38,497 [14] DEBUG (HttpDaemon) HttpMethod GET
2012-04-16 01:36:38,497 [14] DEBUG (HttpDaemon) /favicon.ico
2012-04-16 01:36:39,060 [14] DEBUG (HttpDaemon) HttpMethod GET
2012-04-16 01:36:39,060 [14] DEBUG (HttpDaemon) /index.html
2012-04-16 01:36:39,146 [14] DEBUG (HttpDaemon) HttpMethod GET
2012-04-16 01:36:39,146 [14] DEBUG (HttpDaemon) /favicon.ico
2012-04-16 01:37:21,042 [14] DEBUG (HttpDaemon) HttpMethod GET
2012-04-16 01:37:21,042 [14] DEBUG (HttpDaemon) /index.html
2012-04-16 01:37:21,149 [14] DEBUG (HttpDaemon) HttpMethod GET
2012-04-16 01:37:21,149 [14] DEBUG (HttpDaemon) /favicon.ico
2012-04-16 01:38:30,807 [14] DEBUG (HttpDaemon) HttpMethod GET
2012-04-16 01:38:30,807 [14] DEBUG (HttpDaemon) /index.html
2012-04-16 01:38:30,900 [14] DEBUG (HttpDaemon) HttpMethod GET
2012-04-16 01:38:30,901 [14] DEBUG (HttpDaemon) /favicon.ico
2012-04-16 01:41:07,407 [14] DEBUG (HttpDaemon) HttpMethod GET
2012-04-16 01:41:07,408 [14] DEBUG (HttpDaemon) /index.html
2012-04-16 01:41:07,577 [14] DEBUG (HttpDaemon) HttpMethod GET
2012-04-16 01:41:07,577 [14] DEBUG (HttpDaemon) /favicon.ico
2012-04-16 01:41:10,210 [14] DEBUG (HttpDaemon) HttpMethod POST
2012-04-16 01:41:10,210 [14] DEBUG (HttpDaemon) /index.html
2012-04-16 01:41:10,211 [14] DEBUG (HttpDaemon) Client data content type application/x-www-form-urlencoded
2012-04-16 01:41:10,211 [14] DEBUG (HttpDaemon) Client data content length 8
2012-04-16 01:41:10,211 [14] DEBUG (HttpDaemon) Start of client data:
2012-04-16 01:41:10,212 [14] DEBUG (HttpDaemon) scroll=1
2012-04-16 01:41:10,212 [14] DEBUG (HttpDaemon) End of client data:
2012-04-16 01:41:10,212 [14] DEBUG (HttpDaemon) s=scroll=1
2012-04-16 01:41:10,212 [14] DEBUG (HttpDaemon) Replaceed s=scroll=1
